hs_index,aw_md_norm,cos_awMD_normLR,cos_awMD_normMD,cos_awMD_normMD_minus10pc,cos_awMD_normMD_minus1pc,cos_awMD_normMD_minus20pc,cos_awMD_normMD_minus2pc,cos_awMD_normMD_minus50pc,cos_awMD_normMD_minus5pc,cos_awMD_normMD_withinPos,cos_awMD_procMD,cos_awMD_random,cos_awMD_testMD,cos_awMD_testMD_minus10pc,cos_awMD_testMD_minus1pc,cos_awMD_testMD_minus20pc,cos_awMD_testMD_minus2pc,cos_awMD_testMD_minus50pc,cos_awMD_testMD_minus5pc,cos_awW1_normLR,cos_awW1_normMD,cos_awW1_normMD_minus10pc,cos_awW1_normMD_minus1pc,cos_awW1_normMD_minus20pc,cos_awW1_normMD_minus2pc,cos_awW1_normMD_minus50pc,cos_awW1_normMD_minus5pc,cos_awW1_testMD,cos_normMD_adding-knowledge,cos_normMD_backtracking,cos_normMD_deduction,cos_normMD_example-testing,cos_normMD_initializing,cos_normMD_normMD_withinPos,cos_normMD_procMD,cos_normMD_random,cos_normMD_testMD,cos_normMD_uncertainty-estimation,neg_var_top5pc,normLR_train_acc,norm_md_norm,posmatched_null_mean,posmatched_null_sd,shuffled_mean,shuffled_sd,z_cos_awLR_normLR,z_cos_awLR_testLR,z_cos_awMD_normMD,z_cos_awMD_procMD,z_cos_awMD_testMD,z_cos_normLR_testLR,z_cos_normMD_procMD,z_cos_normMD_testMD,z_shuffled_mean,z_shuffled_sd
0,0.10468506067991257,0.21629629913241855,0.22054844579919244,0.03779200950546566,0.08669821178702342,-0.01779139381373637,0.09148258985124916,-0.01609286459764138,0.048454862051515925,-0.3742613089752798,0.03398653418181939,-0.007413897858665273,0.9649810767115846,0.9575742648954371,0.9630996348599122,0.9596110666518932,0.9630707813962572,0.9791391532686615,0.9612601192308025,0.06428464401212489,0.0652780530620338,0.013909169326812826,0.03209908798569909,-0.0019549901158771887,0.03246105514883397,0.033282012626777234,0.02240251718236762,0.30857551625814733,,,,,,0.353180692905651,-0.12443753068737688,-0.015134994505159854,0.28444521043078486,,0.27563047409057617,0.7936636880584891,0.05210479348897934,0.275473415810673,0.06135537850418855,-0.00475546460017615,0.12459233320252819,0.03126379406845608,0.2278606539057719,0.20647944230299847,0.03594965915256845,0.9629556881830607,0.0003489161310952594,-0.14340584946177024,0.27065974557571354,0.03077852747462344,0.11793060818834009
1,0.8327875137329102,,0.21903804992997436,-0.11506392383242396,0.2562179931472297,-0.027938826507170323,0.02361482246591409,6.707875465107824e-05,0.061096330593358596,-0.3950009163495331,-0.08827313993424671,0.014520026827044437,0.9696681493954571,0.9511253518650064,0.969597440066082,0.951427132056443,0.96290543775706,0.9754370618082542,0.9550105829421597,,0.21249482823776017,-0.07459655562019923,0.2385275346609303,-0.004219558511802846,0.03501069210933374,0.036214013698506665,0.05452643032914646,0.8209976442013243,0.0012422964300916977,-0.044580671375608776,-0.04861434221101706,-0.2028843271584651,-0.24576937782725028,0.5150863837831338,-0.2681658779313632,-0.018375651059100707,0.2567867236559052,0.07316423339539341,0.28420406579971313,,0.49976351857185364,0.4138971119083334,0.0549751701188825,-0.0005361544015269412,0.13963557650745168,,,0.20390989443263496,-0.04717719410943944,0.9628876355908687,,-0.2554128743740214,0.2532333019063875,-0.06452758876459196,0.09760781543690808
2,1.2127110958099365,,0.38311492598136027,-0.10939235805598353,0.25011121133090314,-0.10011873550589105,0.29049934097017427,-0.09226933161194265,0.11154383369852802,-0.3906384031163706,-0.10362859578423053,0.008192772351631999,0.9738155907659298,0.9434489138297081,0.9692235638812837,0.9559182588021423,0.96856941022147,0.9753394860322275,0.9531842150878487,,0.29993964809730256,-0.07444553629469712,0.23917082733149186,-0.06516290893881914,0.26285972954720793,-0.03580829128665476,0.08444613057412931,0.8207038425533435,0.09338553392593296,-0.03956308400114984,0.06995048293692474,-0.09060883349019895,-0.3824758163589259,0.3732310764302577,-0.24023978098152485,-0.007119598640410206,0.4111198646245034,0.14083620543298447,0.4572077989578247,,0.668552815914154,0.5111699604924353,0.07951022530188587,-0.005578922525992968,0.22832702578924985,,,0.3065837652698531,-0.05316405109154474,0.9664603495617673,,-0.22150661345412903,0.3561636195976184,-0.053659913481914255,0.15925158710698034
3,1.6216025352478027,,0.39246609165055607,-0.06029968097310722,0.2975227980197455,-0.09554194200479715,0.24986194643873746,-0.11075226657513149,0.07151842764639171,-0.32807535016410816,-0.16845297841188872,0.03194905297041914,0.9774766291094318,0.9460906966821457,0.9750316267760019,0.957201912649718,0.966656212604131,0.9788154305960052,0.9552841002617805,,0.2932896495839993,-0.025814331188483967,0.2469875794735403,-0.0577718704064141,0.2071743070370736,-0.06526160185808713,0.055241834487503,0.8139952115491387,0.08623387521901975,-0.048797946502412856,0.05522243266208447,-0.09321006708558234,-0.3549200796416641,0.47264431702914433,-0.292014285798383,0.0073335722938964775,0.42025479502667445,0.12221373265328615,0.47462499141693115,,0.900107204914093,0.5971675247966266,0.06976520121471823,0.0162769214662515,0.249496030850049,,,0.3191013613305934,-0.11851039004058267,0.9706722732975481,,-0.2685870149548478,0.36453097186852257,-0.007777845641486754,0.18774636097539665
4,2.057042360305786,,0.41561757835581775,-0.05691854748321545,0.4167354247360592,-0.06764941910596999,0.2699319393388804,-0.06170652834962873,0.0758882300094202,-0.31196417763051054,-0.1763521160599558,0.03215860754528755,0.9771030403330008,0.9534401713240388,0.9771285708317629,0.9575323013219548,0.9664946264849456,0.9796260154717402,0.9555185523145695,,0.30018882269278535,-0.021850827969576842,0.2981421736099501,-0.046054664473895265,0.1933241790662646,-0.049904036998420095,0.052650893262660314,0.7982787572242321,0.06392377603037963,-0.07721881984370763,0.021367748059180566,-0.1360803314738445,-0.32857002100628985,0.4055203968741435,-0.3125693257808493,0.0031042548058623875,0.44005917098786723,0.08676094884989329,0.44587960839271545,,1.0807733535766602,0.6160099561273948,0.05078967368400125,-0.0029383709010293944,0.22762981407006494,,,0.34668319108401685,-0.11647191404272879,0.9710188796302135,,-0.27669672966834885,0.38839926894664695,0.05057343596655023,0.14659939232040686
5,2.6010584831237793,,0.43625979300505796,-0.1069968380614489,0.4659484302926985,-0.013673480236085273,0.2656349594037158,-0.053815979784638326,0.12108172122091199,-0.27003788429891107,-0.2059301281100341,0.03792983721382567,0.9751451015620803,0.9400032881542082,0.9730103320319555,0.9505603611319049,0.9641527456836174,0.9770151042524818,0.9552294772789002,,0.2880992822877225,-0.04087818711247607,0.29511761898206157,0.007672528482795991,0.1537159535363091,-0.017576865005375558,0.0394023088166677,0.7636084371340548,0.04894099585349167,-0.07949544809812768,-0.022565994569682536,-0.18013710803856103,-0.31576486221246997,0.3818134696923316,-0.33783478676123263,0.002849542623903085,0.45911324249739976,0.09081385368380145,0.40795859694480896,,1.361245036125183,0.5921445287284569,0.051647736796038186,-0.009716055461980691,0.2246314800792583,,,0.37374755391937675,-0.12976943753532533,0.9691735088293718,,-0.29586595939772753,0.41733801064729875,-0.05364157655905005,0.180753553696731
6,3.623145341873169,,0.452229212578085,-0.1617495996855787,0.4655589991610998,-0.07732424117081486,0.09667491566989944,-0.023998678237127223,0.08814336299120805,-0.3025415432805689,-0.23174428315231965,0.047790483105233636,0.977849650955848,0.9453229718627283,0.9752729673412515,0.9566966225252391,0.9618736428780185,0.977938790760425,0.9604393970859663,,0.2486185061487562,-0.05049725160683809,0.24466367693724925,-0.015525845174899586,-0.004824528731359419,-0.011661774512014592,0.001516588406731979,0.6924974282746014,0.00715169007143822,-0.0596632914573495,-0.02237906113527557,-0.20255689556433784,-0.33303447928887353,0.3312613759643377,-0.31890967493682837,0.00972717491045344,0.4758274738483758,0.11016377055956016,0.39491263031959534,,1.7662286758422852,0.5889999150223866,0.050353816505675913,-0.01105073047715346,0.21744649907204044,,,0.36559197192039206,-0.10217503190984312,0.9717834484030761,,-0.2654467858508127,0.40526593000753036,0.055686765457530187,0.21815527249814737
7,4.6890668869018555,,0.41165788704616335,-0.15295954612985063,0.43772780756152957,-0.05940272875118916,0.12150606967719993,-0.028444878107557248,-0.2929114753777446,-0.29212802602010046,-0.16193836060520891,0.041564558400573166,0.9777968362228677,0.9622190902204171,0.9768928525407073,0.970587498966992,0.9672221248589293,0.9807590477421455,0.9560539115106944,,0.1896596126519325,-0.04834022819874325,0.19712665548219124,-0.007272073258008725,-0.008887827846381834,-0.014389943088243788,-0.13686334778052955,0.6103270188576368,-0.015004659005455879,-0.08635658667714706,-0.07043548898550843,-0.22032959122853,-0.259908801025756,0.3639205392987489,-0.2767541008154291,0.02420802058257094,0.439561528618341,0.07377018047706123,0.36313772201538086,,2.2214772701263428,0.5089668754719515,0.05295941869158937,-0.0017443655861964812,0.21124225464667082,,,0.35954811586012164,-0.0828256304181815,0.974281593647201,,-0.26433336190764783,0.394616544230874,0.030189602496708497,0.16103304516737343
8,6.191587924957275,,0.4201648589690172,-0.21433419420026742,0.42234274642242203,-0.06176295929197246,0.1069378392634939,-0.04388090816816267,-0.41290875265584254,-0.2915391243388182,-0.20434892307444286,0.03631378484343784,0.9790507789532041,0.9657521115920774,0.9763790081892991,0.9750144294050129,0.9669636251563056,0.9797923539359751,0.9599244642446259,,0.15503546753720707,-0.05587537691721402,0.14860392074544043,-0.02996315121228515,-0.03128144589665074,-0.01637005019981323,-0.15576961550721402,0.5404893658293133,-0.01686578021478987,-0.06120922823911182,-0.05185856400782887,-0.19354318744886495,-0.26934014077935237,0.3302839004130667,-0.30888681212192964,0.029945797589168915,0.44714250478482465,0.09282542804053291,0.38673561811447144,,2.734503746032715,0.5434849306945524,0.04793152434283051,0.0008421534476043347,0.24193766476499623,,,0.3378564321290097,-0.10642940273041325,0.9751192285805101,,-0.30408481929218795,0.3700353799460368,0.05807170863377618,0.2057615397891992
9,7.1622490882873535,,0.41521780249018764,-0.18329373726501044,0.42716360853478375,-0.025883941347214452,0.10932104931135897,-0.01446886501644921,-0.4247414311774912,-0.28281886479032325,-0.15312890377908,0.035165200269497696,0.9781317588231319,0.9625122909052698,0.9768526238266652,0.9724800449624056,0.9674160427428509,0.9829314260684263,0.9644204044463485,,0.14370417471349423,-0.04197095056700147,0.14369340295150534,-0.010042236667521354,-0.015689413942234436,0.008582457756321502,-0.17474966778958395,0.5055052175614966,-0.0232068657903529,-0.05689959156456744,-0.0159001331647134,-0.17960374570107632,-0.28101348530143344,0.3631050226640371,-0.3140068912389422,0.01005881582974305,0.4395672376417431,0.08527945433639246,0.3771074116230011,,3.299741506576538,0.5124978735388476,0.04920728607429396,0.015527298909128896,0.225013119383328,,,0.3316989199209751,-0.06505103511908104,0.9744491630020299,,-0.31487749085081757,0.3638276085723397,0.020990300657870394,0.19854475772838237
