model,probe_class_code,exact,lowercased,answer_only,normalised_only,prompt_only,not_found,n_quotes,dropped_by_their_filter,wrong_tokens_prompt
deepseek_qwen,negative,0.9647422508146044,0.005806667223661125,0.01925808338207035,0.005472470548918038,0.0007101679338290584,0.004010360096917035,23938,0.02874091402790542,0.0007101679338290584
deepseek_qwen,positive,0.8926507018992568,0.008670520231213872,0.07720891824938067,0.00495458298926507,0.002477291494632535,0.014037985136251032,2422,0.09620148637489677,0.002477291494632535
qwen3,negative,0.9568852561302802,0.009920758719660572,0.014787546016097835,0.013976414800024957,0.0,0.004430024333936482,16027,0.03319398515005927,0.0
qwen3,positive,0.8821729150726856,0.012496812037745473,0.07447079826574854,0.010711553175210406,0.0,0.020147921448610048,3921,0.10533027288956899,0.0
qwq,negative,0.949695885509839,0.01073345259391771,0.018676207513416816,0.0162432915921288,0.00014311270125223614,0.0045080500894454385,13975,0.03942754919499106,0.00014311270125223614
qwq,positive,0.8275526110678099,0.0161730319563523,0.11087295401402962,0.020265003897116135,0.00019485580670303975,0.02494154325798909,5132,0.15607950116913483,0.00019485580670303975
