model,probe_class_paper,exact,lowercased,answer_only,normalised_only,prompt_only,not_found,n_quotes,dropped_by_their_filter,wrong_tokens_prompt
deepseek_qwen,negative,0.9647422508146044,0.005806667223661125,0.01925808338207035,0.005472470548918038,0.0007101679338290584,0.004010360096917035,23938,0.02874091402790542,0.0007101679338290584
deepseek_qwen,positive,0.9565217391304348,0.014492753623188406,0.020703933747412008,0.0,0.0,0.008281573498964804,483,0.028985507246376812,0.0
qwen3,negative,0.9568852561302802,0.009920758719660572,0.014787546016097835,0.013976414800024957,0.0,0.004430024333936482,16027,0.03319398515005927,0.0
qwen3,positive,0.9632107023411371,0.013377926421404682,0.0033444816053511705,0.004459308807134894,0.0,0.01560758082497213,897,0.023411371237458192,0.0
qwq,negative,0.949695885509839,0.01073345259391771,0.018676207513416816,0.0162432915921288,0.00014311270125223614,0.0045080500894454385,13975,0.03942754919499106,0.00014311270125223614
qwq,positive,0.9555555555555556,0.017777777777777778,0.005333333333333333,0.006222222222222222,0.0,0.015111111111111112,1125,0.026666666666666665,0.0
