model,exact,lowercased,answer_only,normalised_only,prompt_only,not_found,n_quotes,dropped_by_their_filter,wrong_tokens_prompt
deepseek_qwen,0.9595663535560421,0.005897309132000848,0.023553923299668055,0.005367610706970831,0.000847517480048026,0.004767285825270146,28318,0.03368881983190903,0.000847517480048026
qwen3,0.9465941512125535,0.009851997146932953,0.023939015691868758,0.01270506419400856,0.0,0.006909771754636234,22432,0.04355385164051355,0.0
qwq,0.9252050103631612,0.011219248445525817,0.037848067045147336,0.016265657384878795,0.00013517166801838335,0.00932684509326845,22194,0.06344056952329458,0.00013517166801838335
