model,exact,lowercased,answer_only,normalised_only,prompt_only,not_found,n_quotes,dropped_by_their_filter,wrong_tokens_prompt
deepseek_qwen,0.03859438354107223,0.01041197376983531,0.874555739099965,0.0007008059268158383,0.0002502878310056565,0.075486809831306,19977,0.9507433548580868,0.0002502878310056565
qwen3,0.023195598230661345,0.0017801273060740102,0.8493904412557989,0.0026971625849606215,0.0008630920271873989,0.12207357859531773,18538,0.9741611824360773,0.0008630920271873989
qwq,0.02601607860652077,0.0008374274229566771,0.8334635998213488,0.0022889682894149175,0.0005582849486377847,0.13683564091112105,17912,0.9725882090218847,0.0005582849486377847
