model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
deepseek_qwen,0,5120,0.7554638981819153,0.7647777199745178,1.2823079824447632,1.3246338674925484,0.8166439533233643,0.5339093804359436,0.8455725908279419,-0.42292797565460205,0.7149930596351624,-0.6219939589500427
deepseek_qwen,1,5120,1.5655628442764282,1.5627754926681519,3.0198676586151123,2.706806554124723,0.8166438341140747,0.26127997040748596,0.9652634263038635,-0.8637101650238037,0.9317337274551392,-0.00022302241995930672
deepseek_qwen,2,5120,1.6411819458007812,1.6440962553024292,3.182161569595337,2.8476582467175398,0.8166437745094299,0.248356431722641,0.9686692953109741,-0.876420795917511,0.9383203983306885,-0.005732519552111626
deepseek_qwen,3,5120,1.6474473476409912,1.644976019859314,3.18953800201416,2.8491820436287623,0.8166438341140747,0.24822363257408142,0.9687029719352722,-0.8769561052322388,0.9383856058120728,-0.0070163654163479805
deepseek_qwen,4,5120,1.674344778060913,1.6751915216445923,3.248459577560425,2.9015168278970527,0.8166437745094299,0.24374638497829437,0.9698390364646912,-0.8811154961585999,0.9405877590179443,-0.00981838908046484
deepseek_qwen,5,5120,1.6288230419158936,1.6290360689163208,3.1538455486297607,2.821573238725343,0.8166436553001404,0.25065240263938904,0.9680773019790649,-0.874330461025238,0.9371734857559204,-0.010457022115588188
deepseek_qwen,6,5120,1.6658148765563965,1.6732423305511475,3.237661361694336,2.8981407298895454,0.8166435956954956,0.24403028190135956,0.9697705507278442,-0.8803774118423462,0.9404547810554504,-0.01182347722351551
deepseek_qwen,7,5120,1.6588685512542725,1.66218900680542,3.219088315963745,2.8789958115694376,0.8166436553001404,0.24565306305885315,0.969358503818512,-0.8790698051452637,0.9396560788154602,-0.011297587305307388
deepseek_qwen,8,5120,1.6701101064682007,1.6663405895233154,3.23496675491333,2.886186563768658,0.8166437745094299,0.24504107236862183,0.9695134162902832,-0.880183219909668,0.9399561285972595,-0.010977446101605892
deepseek_qwen,9,5120,1.6927202939987183,1.6910395622253418,3.28373646736145,2.9289664393833243,0.8166435956954956,0.24146200716495514,0.9704104661941528,-0.8835084438323975,0.9416966438293457,-0.010022365488111973
deepseek_qwen,10,5120,1.7786198854446411,1.7718452215194702,3.45527720451355,3.0689259468198546,0.8166437149047852,0.23045006394386292,0.9730861783027649,-0.8941973447799683,0.9468966126441956,-0.009319188073277473
