model,layers,d_model,norm_w1_mean,norm_w1_min,norm_w1_over_init_mean,norm_sum_min,norm_sum_max,init_over_w1_max,cos_w1_diff_mean,cos_w1_diff_min,cos_w0_w1_mean,frac_w1_along_diff_mean
deepseek_qwen,64,5120,4.115935099311173,0.7647777199745178,7.129008712663005,0.8166435956954956,0.8166443109512329,0.5339093804359436,0.9726254856213927,0.8455725908279419,-0.892822734080255,0.9466309519484639
qwen3,64,5120,4.396609025076032,1.0446690320968628,7.615150212447555,0.8166435360908508,0.8166442513465881,0.39086246490478516,0.9721910189837217,0.9204589128494263,-0.8920295294374228,0.9455318842083216
qwq,64,5120,3.4935342669487,0.6721470355987549,6.050978848338042,0.8166437149047852,0.816644012928009,0.6074889898300171,0.969151571393013,0.7943629622459412,-0.8799769664183259,0.9401634056121111
