model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,deduction,density,0.2033114723802374,-0.2453190753900006,0.6848666628857039
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,deduction,density_nontest,0.13593472933774708,-0.31224083869602276,0.606809486313413
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,deduction,density_testlex,0.06737674304249022,-0.00784183927815948,0.14560837892731196
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,adding-knowledge,density,-0.21989348652849297,-0.557568395129368,0.10178668407649928
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,adding-knowledge,density_nontest,-0.22356317031936854,-0.5640937569229499,0.097703116562785
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,adding-knowledge,density_testlex,0.0036696837908754883,-0.05806857676578234,0.06068125729251356
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,example-testing,density,0.004939267366000806,-0.191502601500459,0.22991755963064134
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,example-testing,density_nontest,-0.002500101775495987,-0.20148943506916656,0.22625170616970788
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,example-testing,density_testlex,0.007439369141496801,0.0,0.022318107424490405
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,uncertainty-estimation,density,0.06640323807770825,-0.09158308531369597,0.23204683979471727
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,uncertainty-estimation,density_nontest,0.052049697020034064,-0.09370993613229278,0.21041425132318878
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,uncertainty-estimation,density_testlex,0.014353541057674167,-0.0700169854777575,0.09261737453451632
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,backtracking,density,0.023769793562386923,-0.07011046673214583,0.11838979404682014
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,backtracking,density_nontest,0.01942930683408435,-0.07056973833112638,0.10784699661577246
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,backtracking,density_testlex,0.004340486728302585,-0.013282073504883602,0.02630353368979136
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,initializing,density,0.0128814350742094,-0.08820302503103337,0.12524585410435937
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,initializing,density_nontest,0.00901007948294873,-0.09178260135496392,0.11928809575023301
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,initializing,density_testlex,0.0038713555912606723,-0.00034193513917828893,0.011956001912960305
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,deduction,density,-0.25417013003274447,-0.6175629012401901,0.12289968289215325
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,deduction,density_nontest,-0.464001810011689,-0.8726341362330926,-0.0626879381529632
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,deduction,density_testlex,0.20983167997894436,0.07563534021077943,0.354555151749767
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,adding-knowledge,density,-0.11637104751535655,-0.3568648453458892,0.12881208200938274
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,adding-knowledge,density_nontest,-0.17268138921751766,-0.4075246451859466,0.06547138739702996
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,adding-knowledge,density_testlex,0.0563103417021611,0.009930992673881029,0.111150397254565
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,example-testing,density,-0.02101736755659064,-0.08199432620552387,0.033722345391326194
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,example-testing,density_nontest,-0.04055846729575389,-0.09204383895665223,-0.005733287467033597
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,example-testing,density_testlex,0.01954109973916325,-0.012071788134432788,0.05856015651874785
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,uncertainty-estimation,density,0.10803340592804016,-0.14150099388315754,0.3675066051218457
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,uncertainty-estimation,density_nontest,0.06365720060223255,-0.15373929783901888,0.30693745492251595
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,uncertainty-estimation,density_testlex,0.04437620532580762,-0.04022074903444902,0.1292094798142814
qwen3_32b_api,api_actions,fake,prompt_test,0.0,refuse_both,51,backtracking,density,-0.0057921127691962495,-0.07550235186201681,0.06509861506770395
