label,n,is_floor,task_base,d_task,t_lo,t_hi,d_test,tt_lo,tt_hi
"Distill-32B: authors' weight edit, toward awareness",104,False,16.067307692307693,0.3269230769230769,-0.49038461538461536,1.1442307692307692,1.0096153846153846,0.7884615384615384,1.2403846153846154
"QwQ-32B: authors' weight edit, toward awareness",62,False,14.274193548387096,-0.5161290322580645,-1.9193548387096775,1.0161290322580645,1.5161290322580645,1.1129032258064515,1.9516129032258065
"Qwen3-32B: authors' weight edit, toward awareness",106,False,14.40566037735849,0.20754716981132076,-0.6509433962264151,1.0377358490566038,0.9811320754716981,0.7547169811320755,1.2169811320754718
"Qwen3-32B: authors' weight edit, away from awareness",65,False,15.184615384615384,-1.6307692307692307,-3.1696153846153843,-0.13846153846153847,-0.3076923076923077,-0.5384615384615384,-0.07692307692307693
"Qwen3-32B: test cue, decode 0",90,False,17.344444444444445,-1.8777777777777778,-5.288888888888889,0.4444444444444444,0.8444444444444444,0.5333333333333333,1.1666666666666667
"Qwen3-32B: test cue, decode 1",94,False,16.71276595744681,-1.2659574468085106,-2.861968085106383,0.2127659574468085,0.7659574468085106,0.4787234042553192,1.074468085106383
Qwen3-4B: test cue,20,False,17.8,-1.4,-6.5,4.0,0.7,0.15,1.3
"floor: Distill-32B, no intervention, second decode",118,True,16.1864406779661,0.09322033898305085,-0.923728813559322,1.1016949152542372,0.06779661016949153,-0.0423728813559322,0.17796610169491525
"floor: Qwen3-32B, no intervention, second decode",104,True,17.03846153846154,-1.0096153846153846,-3.981009615384615,1.3365384615384615,-0.0673076923076923,-0.25961538461538464,0.125
