arm,n_known,exec_baseline,exec_arm,lost,gained,p_mcnemar,closure
baseline_seed1,141,0.723,0.745,3,6,0.508,0.96
bt_neg,146,0.726,0.705,14,11,0.690,1.00
unc_neg,143,0.727,0.783,8,16,0.152,0.98
unc_pos,136,0.706,0.684,10,7,0.629,0.93
bt_pos,94,0.681,0.660,5,3,0.727,0.63
random_bt,144,0.722,0.778,7,15,0.134,0.99
random_unc,144,0.722,0.799,3,14,0.013,0.99
