arm,n_pairs,base_mean,delta,ci_lo,ci_hi
aware_strong,149,-1.9825387825101812,-0.0004682196866745,-0.0041912876719596,0.0035912703347686
prompt_test,149,-1.9825387825101812,0.1364634461050865,0.1246110950140345,0.149325107628067
aware,149,-1.9825387825101812,0.0024080388497986,-0.0021888600699853,0.0070836845060322
unaware_strong,149,-1.9825387825101812,-0.0136218230996355,-0.0178005924760895,-0.0095541821230177
random_aware,149,-1.9825387825101812,-0.0072769262646668,-0.011140547042725,-0.0034217813070988
bt_neg,149,-1.9825387825101812,0.0,0.0,0.0
unc_neg,149,-1.9825387825101812,-0.3082690566978198,-0.3249417641018861,-0.2928105023283286
unc_pos,149,-1.9825387825101812,0.2357664108276367,0.2256699971704675,0.2461205906315938
