cell,baseline_matches,baseline_generic_only_share,arm_matches,arm_generic_only_share,arm_matches_quoting_cue,n_stable_refusers,added_per_trace_full,added_per_trace_explicit
"Distill-32B, aware +0.07",26,0.654,186,0.177,0,105,1.02,0.9
"QwQ-32B, aware +0.05",122,0.648,337,0.214,8,62,1.53,1.52
"Qwen3-32B, aware +0.043",144,0.681,292,0.336,6,106,1.0,1.0
"Qwen3-32B, cue (seed 0)",142,0.627,244,0.369,74,90,0.84,0.74
"Qwen3-4B, cue",130,0.662,187,0.455,50,20,0.7,0.7
"Qwen3-4B, uncertainty +",130,0.662,237,0.447,3,33,1.18,1.06
"Qwen3-4B, uncertainty −",130,0.662,49,0.939,0,23,-0.87,-0.39
