model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.5258266324050115,-0.019076603314708254,-0.12932356224433403,0.0948711357984666,0.7401299242530388,0.7635893277169716
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,backtracking,0.27478958352884825,0.2658428107604478,-0.008946772768400392,-0.07314550174824797,0.051983403441270615,0.778736831658663,0.5382993784403112
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,words,,345.2281879194631,331.66442953020135,-13.563758389261745,-60.59781879194631,31.52231543624158,0.5838627361006388,0.3832288950047247
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,n_spans_counted,,24.06040268456376,23.812080536912752,-0.2483221476510067,-3.362751677852349,2.77214765100671,0.879306089804753,0.5872529243209609
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,initializing,0.6143226705511321,0.6014052023772386,-0.012917468173893549,-0.10201875113166192,0.07638232338001548,0.7741835710722532,0.5486408995154763
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,deduction,4.160037871122034,3.9198672839723687,-0.24017058714966438,-0.447537498639377,-0.048067561947174126,0.023890608307290468,0.032187916266285484
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,adding-knowledge,1.56968172651527,1.6187964518578553,0.0491147253425855,-0.11226073256330742,0.20329327832358468,0.5516351946949106,0.5373311515397878
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,example-testing,0.24243590058771902,0.23259385329046298,-0.009842047297256046,-0.09693542871149623,0.08660521136563586,0.8348861954894164,0.42390323850103095
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,uncertainty-estimation,0.7208768794902509,0.7528223134603824,0.03194543397013142,-0.09713315544288789,0.16055121195556546,0.6317547980537332,0.6718766079641099
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density,backtracking,0.2792816538193052,0.2693723018038943,-0.00990935201541087,-0.08649948547909282,0.058969459096986684,0.7938628958381618,0.8725405013740156
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,initializing,0.10724960273226813,0.10480388414835377,-0.0024457185839143695,-0.01296226051329217,0.008167813623350324,0.6542411158209938,0.5077558297897272
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,deduction,0.5075862463400163,0.4903035696441554,-0.01728267669586081,-0.04102351183249735,0.006303093891296729,0.1660843358470502,0.16740887813447158
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,adding-knowledge,0.21293079944413223,0.22742296126928838,0.014492161825156117,-0.007314579946853931,0.03580103733522766,0.19361809912015115,0.18622489729649383
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,example-testing,0.03651186485368786,0.03454408615628557,-0.0019677786974022834,-0.013854732562183525,0.010049817509866827,0.7433608272953948,0.5557084600297337
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,uncertainty-estimation,0.09322868635509086,0.09989427852551978,0.006665592170428906,-0.011589854153543886,0.02502253332989788,0.4878523627109554,0.6021426880120386
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,coverage,backtracking,0.042492800274804655,0.043031220256397086,0.0005384199815924327,-0.011408503788943094,0.011822241968536899,0.9279184786986276,0.6809954139858487
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,adding-knowledge,0.9865771812080537,1.0,0.013422818791946308,0.0,0.03355704697986577,0.15799703049544492,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,example-testing,0.3624161073825503,0.3221476510067114,-0.040268456375838924,-0.12080536912751678,0.040268456375838924,0.3562780249048205,0.3545394797735013
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,uncertainty-estimation,0.7516778523489933,0.7986577181208053,0.04697986577181208,-0.040268456375838924,0.1342281879194631,0.275759557042437,0.27429882739587585
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,any,backtracking,0.5100671140939598,0.5100671140939598,0.0,-0.11409395973154363,0.10738255033557047,1.0,1.0
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,initializing,0.0,0.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,deduction,0.15685500742414873,0.1434561108692373,-0.013398896554911457,-0.055262616535293026,0.025387685789958293,0.5244220780641947,0.6470110842805632
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,adding-knowledge,0.016174819625802896,0.022633905810239854,0.006459086184436958,-0.010045458809510287,0.024779233024274296,0.4772101288374395,0.5416259765625
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,example-testing,0.0019397136982581373,0.002214986599331074,0.00027527290107293677,-0.005819141094774412,0.0066449597979932225,0.9258839687442234,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,uncertainty-estimation,0.13208718447944748,0.11703856196262603,-0.015048622516821453,-0.05921052614553021,0.028556645495152824,0.5044280271137772,0.5900762435133586
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_testlex,backtracking,0.0037343316481231216,0.005897073902411515,0.0021627422542883938,-0.00570299729814867,0.013611337575943877,0.6729993152140087,
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,initializing,0.6143226705511321,0.6014052023772386,-0.012917468173893549,-0.10201875113166192,0.07638232338001548,0.7741835710722532,0.5486408995154763
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,deduction,4.003182863697885,3.776411173103132,-0.22677169059475294,-0.440340872279449,-0.03152056015598262,0.036374195074178745,0.051787103504062224
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,adding-knowledge,1.553506906889467,1.5961625460476156,0.04265563915814853,-0.12028313052868722,0.19322768143056362,0.6007831844037675,0.5626216345324573
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,example-testing,0.2404961868894609,0.23037886669113192,-0.010117320198328984,-0.09542536087954787,0.08530120203044766,0.8287609900797843,0.37678072029848664
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,uncertainty-estimation,0.5887896950108035,0.6357837514977563,0.046994056486952894,-0.07860626224612711,0.1680647180024984,0.4681796931222148,0.5236293848958581
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,density_nontest,backtracking,0.27554732217118205,0.26347522790148287,-0.012072094269699261,-0.08887404509939899,0.059252161608401924,0.7510438198817875,0.9064960111850408
qwen3_4b,steer_actions,real,baseline_seed1,0.0,149,words,,334.4697986577181,353.8590604026846,19.389261744966444,-20.88758389261745,61.21778523489932,0.37825356347339906,0.9397255258878037
