model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,uncertainty-estimation,0.07994356445142115,0.08076927752291374,0.0008257130714925916,-0.015398746798976399,0.017083215579329965,0.9195782647658348,0.5947276615871422
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,backtracking,0.04489075254982626,0.044218509780125835,-0.0006722427697004257,-0.011581027564552681,0.010080125584279797,0.905744151171676,0.515133505454844
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,adding-knowledge,0.9798657718120806,0.9865771812080537,0.006711409395973154,-0.013422818791946308,0.03355704697986577,0.5654534272810476,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,example-testing,0.436241610738255,0.40939597315436244,-0.026845637583892617,-0.12080536912751678,0.06711409395973154,0.5879180922519671,0.58621368107314
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,uncertainty-estimation,0.6711409395973155,0.6778523489932886,0.006711409395973154,-0.087248322147651,0.10067114093959731,0.8891922503090613,0.8886378608950078
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,backtracking,0.5637583892617449,0.5167785234899329,-0.04697986577181208,-0.14093959731543623,0.04697986577181208,0.3286527890721246,0.32698934959801507
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,initializing,0.004428353302235407,0.0068241141214015425,0.0023957608191661358,-0.001996998226423644,0.007795870873168023,0.32382963956644545,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,deduction,0.1314254104559466,0.11498948500935781,-0.016435925446588822,-0.0632284383545467,0.027224794607334568,0.48952501915000773,0.5677813567104609
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,adding-knowledge,0.015523357859370266,0.008521064918702663,-0.007002292940667601,-0.02213212821240587,0.007960005057059672,0.38881036078402237,0.4609375
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,example-testing,0.0035794183445190158,0.0,-0.0035794183445190158,-0.010738255033557048,0.0,0.31894268036747386,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,uncertainty-estimation,0.061559992636428106,0.09298259359789879,0.03142260096147069,-0.002635181699422106,0.07055362614676482,0.10824825664835215,0.09023483133668324
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,backtracking,0.004066969719375313,0.0032777390601481026,-0.0007892306592272108,-0.0076463880638943296,0.005658874649763929,0.8144766723474424,1.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,initializing,0.6510873194783665,0.6912915258511634,0.04020420637279689,-0.05902927752773774,0.1502555413186143,0.4589015283637889,0.3959227170657177
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,deduction,3.7120292050359995,3.9964411761350953,0.2844119710990962,0.04506981036506915,0.5198801125585877,0.021805517076785224,0.031857308119138866
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,adding-knowledge,1.6902622833509513,1.6417424561066882,-0.04851982724426326,-0.22809960630406362,0.12376941433467405,0.5845347509023222,0.7405169321684448
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,example-testing,0.3086621745238981,0.2862640238618894,-0.02239815066200866,-0.11745830289540653,0.07228264374078806,0.6581961077836119,0.6292067681923794
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.5258266324050115,-0.019076603314708254,-0.12932356224433403,0.0948711357984666,0.7401299242530388,0.7635893277169716
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_nontest,backtracking,0.27478958352884825,0.2658428107604478,-0.008946772768400392,-0.07314550174824797,0.051983403441270615,0.778736831658663,0.5382993784403112
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,words,,345.2281879194631,331.66442953020135,-13.563758389261745,-60.59781879194631,31.52231543624158,0.5838627361006388,0.3832288950047247
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,n_spans_counted,,24.06040268456376,23.812080536912752,-0.2483221476510067,-3.362751677852349,2.77214765100671,0.879306089804753,0.5872529243209609
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,initializing,0.6555156727806019,0.6275706466010814,-0.02794502617952051,-0.11355951449737156,0.05912816411376335,0.5353211674097021,0.7666863991595305
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,deduction,3.8434546154919462,3.98266576089825,0.13921114540630458,-0.11085317019415604,0.4012427341335454,0.27992689490048195,0.2496207854944975
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,adding-knowledge,1.7057856412103216,1.6082939037031962,-0.0974917375071254,-0.27747643839079944,0.08351505852738526,0.30416153597357737,0.3384988850306212
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,example-testing,0.31224159286841713,0.2996486189217237,-0.01259297394669343,-0.10303770719616251,0.07936244902271745,0.7871017137227174,0.9336334185355158
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,uncertainty-estimation,0.6064632283561479,0.6233594068449431,0.016896178488795315,-0.10485549462427947,0.13351761566395148,0.787347869416223,0.7291909072417493
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,density,backtracking,0.27885655324822356,0.3120103522084508,0.033153798960227236,-0.0434640218955094,0.1052343676166239,0.3792767986306208,0.667391355444666
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,initializing,0.11856491824365388,0.11205660917815866,-0.00650830906549523,-0.019230584096246388,0.006189051994494146,0.31065073887231176,0.3703175003718371
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,deduction,0.47543687958404696,0.4979016470099451,0.022464767425898133,-0.004955603444380787,0.04857127571456851,0.09121673598458659,0.061026610629165715
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,adding-knowledge,0.23276136044242732,0.21008050521273028,-0.02268085522969703,-0.04523270800902159,0.0014433860440180534,0.05505942091038176,0.11339820432211953
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,example-testing,0.048402524728624455,0.042606032097721416,-0.005796492630903042,-0.018822891414238593,0.007971914824927222,0.4152235873480656,0.501896731670362
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,uncertainty-estimation,0.07994356445142115,0.08529950534692671,0.005355940895505547,-0.01282516122960027,0.02213569479350588,0.558452741527931,0.3399364894417104
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,coverage,backtracking,0.04489075254982626,0.05205570115451789,0.007164948604691626,-0.006099754261069117,0.01990862451828614,0.28309661837802214,0.6782135654514224
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,adding-knowledge,0.9798657718120806,0.9865771812080537,0.006711409395973154,-0.013422818791946308,0.03355704697986577,0.5654534272810476,
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,example-testing,0.436241610738255,0.46308724832214765,0.026845637583892617,-0.0738255033557047,0.12751677852348994,0.6130970217693398,0.6114529869535043
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,uncertainty-estimation,0.6711409395973155,0.6845637583892618,0.013422818791946308,-0.0738255033557047,0.09395973154362416,0.7587677348076152,0.7576207236833965
qwen3_4b,steer_actions,fake,prompt_test,0.0,149,any,backtracking,0.5637583892617449,0.5906040268456376,0.026845637583892617,-0.08053691275167785,0.1342281879194631,0.6187044848313803,0.6170750774519738
