model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density,0.267966229024616,0.01660480803402901,0.5431452991120409
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density_nontest,0.28846022283528405,0.03824294085920458,0.5746942531322273
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,deduction,density_testlex,-0.02049399381066802,-0.07198710710202447,0.032420869590891806
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density,-0.044584279730712294,-0.23856894989591418,0.1387000178678921
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density_nontest,-0.038023409382033996,-0.2346597094165185,0.14692350761751316
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,adding-knowledge,density_testlex,-0.006560870348678303,-0.022859451903819775,0.009667963602210143
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,example-testing,density,-0.029703937205951825,-0.15165383114900904,0.0879011793049024
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,example-testing,density_nontest,-0.02522214448886499,-0.14856186772179336,0.09267544905248107
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,example-testing,density_testlex,-0.004481792717086834,-0.013445378151260505,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,uncertainty-estimation,density,0.04101411785241499,-0.09925417273412625,0.17427832888128042
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,uncertainty-estimation,density_nontest,0.013605454567564835,-0.11256935944817867,0.14711853649588175
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,uncertainty-estimation,density_testlex,0.027408663284850168,-0.012216892987816577,0.06786962827884874
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,backtracking,density,0.02529338049320308,-0.03683468576049049,0.08798863427787888
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,backtracking,density_nontest,0.026764265859175775,-0.03676900688297614,0.08877837179256552
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,comply_both,119,backtracking,density_testlex,-0.0014708853659726958,-0.00816408896320106,0.005192832752853782
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,initializing,density,0.20049199210055563,-0.1695407413767872,0.6689032459990752
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,initializing,density_nontest,0.18001697162553512,-0.1695407413767872,0.6074781845740139
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,initializing,density_testlex,0.020475020475020474,0.0,0.06142506142506143
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,deduction,density,0.3965710736751008,-0.29718000428392954,1.0760860763848656
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,deduction,density_nontest,0.5146136240928161,-0.2486676991242997,1.229343382221551
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,deduction,density_testlex,-0.11804255041771516,-0.3122338498910333,0.05977853367680192
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,adding-knowledge,density,-0.22671216348437692,-0.7442263676409885,0.293768494623562
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,adding-knowledge,density_nontest,-0.16806113709141507,-0.7184471016877977,0.37489462783920563
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,adding-knowledge,density_testlex,-0.05865102639296187,-0.17595307917888564,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,example-testing,density,0.03607503607503607,0.0,0.10822510822510822
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,example-testing,density_nontest,0.03607503607503607,0.0,0.10822510822510822
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,uncertainty-estimation,density,-0.019288639835373936,-0.36231770340902836,0.31667747554358494
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,uncertainty-estimation,density_nontest,-0.021647340622981313,-0.2630214579555818,0.22523709868093106
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,uncertainty-estimation,density_testlex,0.00235870078760738,-0.18504717175100238,0.18976457332621716
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,backtracking,density,0.03310254760550728,-0.30460460742043055,0.37353804176355154
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,backtracking,density_nontest,0.0126275271304868,-0.30460460742043055,0.31399447648867906
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,refuse_both,11,backtracking,density_testlex,0.020475020475020474,0.0,0.06142506142506143
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,initializing,density,0.03556330382444448,-0.08473477565944779,0.15733315276332352
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,initializing,density_nontest,0.031526737694020764,-0.08820967853842696,0.152054059489182
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,initializing,density_testlex,0.004036566130423716,0.0,0.009656232022084845
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,deduction,density,0.27884817741811857,0.03206121068993331,0.541899574659268
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,deduction,density_nontest,0.30759627986476756,0.0567036020881686,0.5759865921065905
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,deduction,density_testlex,-0.02874810244664894,-0.07825322375512347,0.020857283794967485
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,adding-knowledge,density,-0.0599951006637147,-0.24676307767054925,0.11889727292016011
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,adding-knowledge,density_nontest,-0.04902660172667393,-0.23697332454939057,0.13199131509084364
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,adding-knowledge,density_testlex,-0.01096849893704076,-0.03005702907592746,0.0047779761784526
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,example-testing,density,-0.024138024082175927,-0.13459090242678404,0.08403760358406905
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,example-testing,density_nontest,-0.020035459979611814,-0.12980269464006242,0.08850452049511702
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,example-testing,density_testlex,-0.0041025641025641026,-0.012307692307692308,0.0
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,uncertainty-estimation,density,0.03591157681729439,-0.09970105703210888,0.1521763696367109
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,uncertainty-estimation,density_nontest,0.010622525743749374,-0.1194372008238293,0.12732414895026195
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,uncertainty-estimation,density_testlex,0.025289051073545003,-0.012998108352602537,0.06490120820961945
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,backtracking,density,0.025954156171936513,-0.03872237576198736,0.09089483116793333
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,backtracking,density_nontest,0.025568080274440557,-0.03768853393550591,0.09008518700913754
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,same,130,backtracking,density_testlex,0.0003860758974959571,-0.006741434665962968,0.007486595907648538
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,initializing,density,-0.008346807888933475,-0.2804079046635309,0.2997191708001512
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,initializing,density_nontest,-0.008346807888933475,-0.2804079046635309,0.2997191708001512
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,deduction,density,-0.7362835399713745,-1.9967186203143297,0.3183547143722028
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,deduction,density_nontest,-0.6380012991096135,-1.7569829993234662,0.3633689299347762
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,deduction,density_testlex,-0.09828224086176118,-0.3240065740542357,0.12729055387771174
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,adding-knowledge,density,-1.043390816267296,-1.431106799395518,-0.6499583879165057
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,adding-knowledge,density_nontest,-1.0097207825972623,-1.4021028985560104,-0.6159395611853297
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,adding-knowledge,density_testlex,-0.03367003367003367,-0.10101010101010102,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,example-testing,density,0.314266593297166,0.07279518055380127,0.6472642136848157
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,example-testing,density_nontest,0.314266593297166,0.07279518055380127,0.6472642136848157
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,uncertainty-estimation,density,0.36472181382440927,-0.1827212020098844,1.1187558588042725
qwen3_4b,steer_actions,real,ask_bt_pos,0.0,gained,9,uncertainty-estimation,density_nontest,0.2509574524559352,-0.36252197836224875,1.0927229387928397
